schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,program_days,program_days_update,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_programs wp
     JOIN profiles p ON ((wp.coach_id = p.id)))
  WHERE ((wp.id = program_days.program_id) AND (p.id = auth.uid()) AND (p.role = ANY (ARRAY['coach'::text, 'admin'::text])))))","(EXISTS ( SELECT 1
   FROM (workout_programs wp
     JOIN profiles p ON ((wp.coach_id = p.id)))
  WHERE ((wp.id = program_days.program_id) AND (p.id = auth.uid()) AND (p.role = ANY (ARRAY['coach'::text, 'admin'::text])))))"
public,workout_assignments,Clients can view their workout assignments,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,workout_assignments,Coaches can manage workout assignments,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,workout_block_assignments,workout_block_assignments_delete,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM workout_assignments wa
  WHERE ((wa.id = workout_block_assignments.workout_assignment_id) AND ((wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))))))",null
public,workout_block_assignments,workout_block_assignments_insert,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM workout_assignments wa
  WHERE ((wa.id = workout_block_assignments.workout_assignment_id) AND ((wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))))))"
public,workout_block_assignments,workout_block_assignments_select,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM workout_assignments wa
  WHERE ((wa.id = workout_block_assignments.workout_assignment_id) AND ((wa.client_id = auth.uid()) OR (wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM clients c
          WHERE ((c.client_id = wa.client_id) AND (c.coach_id = auth.uid())))))))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,workout_block_assignments,workout_block_assignments_update,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM workout_assignments wa
  WHERE ((wa.id = workout_block_assignments.workout_assignment_id) AND ((wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))))))","(EXISTS ( SELECT 1
   FROM workout_assignments wa
  WHERE ((wa.id = workout_block_assignments.workout_assignment_id) AND ((wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))))))"
public,workout_exercise_assignments,workout_exercise_assignments_delete,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_block_assignments wba
     JOIN workout_assignments wa ON ((wa.id = wba.workout_assignment_id)))
  WHERE ((wba.id = workout_exercise_assignments.workout_block_assignment_id) AND ((wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))))))",null
public,workout_exercise_assignments,workout_exercise_assignments_insert,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_block_assignments wba
     JOIN workout_assignments wa ON ((wa.id = wba.workout_assignment_id)))
  WHERE ((wba.id = workout_exercise_assignments.workout_block_assignment_id) AND ((wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))))))"
public,workout_exercise_assignments,workout_exercise_assignments_select,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM (workout_block_assignments wba
     JOIN workout_assignments wa ON ((wa.id = wba.workout_assignment_id)))
  WHERE ((wba.id = workout_exercise_assignments.workout_block_assignment_id) AND ((wa.client_id = auth.uid()) OR (wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM clients c
          WHERE ((c.client_id = wa.client_id) AND (c.coach_id = auth.uid())))))))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,workout_exercise_assignments,workout_exercise_assignments_update,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_block_assignments wba
     JOIN workout_assignments wa ON ((wa.id = wba.workout_assignment_id)))
  WHERE ((wba.id = workout_exercise_assignments.workout_block_assignment_id) AND ((wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))))))","(EXISTS ( SELECT 1
   FROM (workout_block_assignments wba
     JOIN workout_assignments wa ON ((wa.id = wba.workout_assignment_id)))
  WHERE ((wba.id = workout_exercise_assignments.workout_block_assignment_id) AND ((wa.coach_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles
          WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))))))"
public,program_day_assignments,Clients view own program day assignments,PERMISSIVE,{authenticated},SELECT,"(program_assignment_id IN ( SELECT program_assignments.id
   FROM program_assignments
  WHERE (program_assignments.client_id = auth.uid())))",null
public,program_day_assignments,Coaches manage program day assignments,PERMISSIVE,{authenticated},ALL,"(program_assignment_id IN ( SELECT program_assignments.id
   FROM program_assignments
  WHERE (program_assignments.program_id IN ( SELECT workout_programs.id
           FROM workout_programs
          WHERE (workout_programs.coach_id = auth.uid())))))",null
public,program_assignments,Clients can view their program assignments,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,program_assignments,Coaches can manage program assignments,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,workout_time_protocols,Clients can view time protocols in assigned workouts,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM ((workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
     JOIN workout_assignments wa ON ((wt.id = wa.workout_template_id)))
  WHERE ((wb.id = workout_time_protocols.block_id) AND (wa.client_id = auth.uid()))))",null
public,workout_time_protocols,Coaches can delete time protocols from their blocks,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_time_protocols.block_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_time_protocols,Coaches can insert time protocols into their blocks,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_time_protocols.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_time_protocols,Coaches can update time protocols in their blocks,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_time_protocols.block_id) AND (wt.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_time_protocols.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_time_protocols,Coaches can view time protocols in their blocks,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_time_protocols.block_id) AND (wt.coach_id = auth.uid())))) OR is_admin(auth.uid()))",null
public,workout_programs,Clients can view assigned workout programs,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM program_assignments pa
  WHERE ((pa.program_id = workout_programs.id) AND (pa.client_id = auth.uid()) AND (pa.status = 'active'::text)))) OR (coach_id = auth.uid()) OR is_admin(auth.uid()))",null
public,workout_programs,Coaches can manage workout programs,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,workout_ladder_sets,Coaches can delete ladder sets from their blocks,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_ladder_sets.block_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_ladder_sets,Coaches can insert ladder sets into their blocks,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_ladder_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_ladder_sets,Coaches can update ladder sets in their blocks,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_ladder_sets.block_id) AND (wt.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_ladder_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_ladder_sets,Coaches can view ladder sets in their blocks,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_ladder_sets.block_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_rest_pause_sets,Clients can view rest pause sets in assigned workouts,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM ((workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
     JOIN workout_assignments wa ON ((wt.id = wa.workout_template_id)))
  WHERE ((wb.id = workout_rest_pause_sets.block_id) AND (wa.client_id = auth.uid()))))",null
public,workout_rest_pause_sets,Coaches can delete rest pause sets from their blocks,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_rest_pause_sets.block_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_rest_pause_sets,Coaches can insert rest pause sets into their blocks,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_rest_pause_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_rest_pause_sets,Coaches can update rest pause sets in their blocks,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_rest_pause_sets.block_id) AND (wt.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_rest_pause_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_rest_pause_sets,Coaches can view rest pause sets in their blocks,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_rest_pause_sets.block_id) AND (wt.coach_id = auth.uid())))) OR is_admin(auth.uid()))",null
public,workout_categories,Coaches can delete workout categories,PERMISSIVE,{public},DELETE,"((coach_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text]))))))",null
public,workout_categories,Coaches can insert workout categories,PERMISSIVE,{public},INSERT,null,"((coach_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text]))))))"
public,workout_categories,Coaches can manage their workout categories,PERMISSIVE,{public},ALL,(auth.uid() = coach_id),null
public,workout_categories,Coaches can update workout categories,PERMISSIVE,{public},UPDATE,"((coach_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text]))))))","((coach_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text]))))))"
public,workout_categories,Coaches can view workout categories,PERMISSIVE,{public},SELECT,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])) AND (profiles.id = workout_categories.coach_id)))))",null
public,workout_categories,workout_categories_delete_coach_admin,PERMISSIVE,{public},DELETE,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text]))))) OR (coach_id = auth.uid()))",null
public,workout_categories,workout_categories_insert_coach_admin,PERMISSIVE,{public},INSERT,null,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text]))))) OR (coach_id = auth.uid()))"
public,workout_categories,workout_categories_select_public,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,workout_categories,workout_categories_update_coach_admin,PERMISSIVE,{public},UPDATE,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text]))))) OR (coach_id = auth.uid()))","((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text]))))) OR (coach_id = auth.uid()))"
public,workout_sessions,Clients can manage their sessions,PERMISSIVE,{public},ALL,(auth.uid() = client_id),null
public,meal_photo_logs,meal_photo_logs_update,PERMISSIVE,{public},UPDATE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text]))))))","((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text]))))))"
public,meal_photo_logs,meal_photos_delete_coach,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text])))))",null
public,meal_photo_logs,meal_photos_insert_own,PERMISSIVE,{public},INSERT,null,(auth.uid() = client_id)
public,meal_photo_logs,meal_photos_select_coach,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text]))))) OR (auth.uid() = client_id))",null
public,habits,Coaches can manage their own habits,PERMISSIVE,{public},ALL,(auth.uid() = coach_id),null
public,habits,habits_delete,PERMISSIVE,{public},DELETE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,habits,habits_insert,PERMISSIVE,{public},INSERT,null,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,habits,habits_select,PERMISSIVE,{public},SELECT,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM habit_assignments
  WHERE ((habit_assignments.habit_id = habits.id) AND (habit_assignments.client_id = auth.uid()) AND (habit_assignments.is_active = true)))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,habits,habits_update,PERMISSIVE,{public},UPDATE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,habit_assignments,Clients can view their own assignments,PERMISSIVE,{public},SELECT,(auth.uid() = client_id),null
public,habit_assignments,Coaches can manage assignments for their habits,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM habits
  WHERE ((habits.id = habit_assignments.habit_id) AND (habits.coach_id = auth.uid()))))",null
public,habit_logs,Clients can manage their own habit logs,PERMISSIVE,{public},ALL,(auth.uid() = client_id),null
public,habit_logs,habit_logs_delete,PERMISSIVE,{public},DELETE,(client_id = auth.uid()),null
public,habit_logs,habit_logs_insert,PERMISSIVE,{public},INSERT,null,(client_id = auth.uid())
public,habit_logs,habit_logs_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = habit_logs.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,habit_logs,habit_logs_update,PERMISSIVE,{public},UPDATE,(client_id = auth.uid()),(client_id = auth.uid())
public,leaderboard_titles,Anyone can view leaderboard titles,PERMISSIVE,{authenticated},SELECT,true,null
public,client_workout_block_exercises,Coaches delete client workout exercises,PERMISSIVE,{authenticated},DELETE,"(client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))",null
public,client_workout_block_exercises,Coaches insert client workout exercises,PERMISSIVE,{authenticated},INSERT,null,"(client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))"
public,client_workout_block_exercises,Coaches select client workout exercises,PERMISSIVE,{authenticated},SELECT,"(client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))",null
public,client_workout_block_exercises,client_workout_block_exercises_update,PERMISSIVE,{public},UPDATE,"((client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,client_workout_block_exercises,clients_view_block_exercises,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (client_workout_blocks b
     JOIN clients c ON ((c.id = b.client_id)))
  WHERE ((b.id = client_workout_block_exercises.client_block_id) AND (c.client_id = auth.uid()))))",null
public,client_workout_block_exercises,coaches_manage_block_exercises,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM (client_workout_blocks b
     JOIN clients c ON ((c.id = b.client_id)))
  WHERE ((b.id = client_workout_block_exercises.client_block_id) AND (c.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (client_workout_blocks b
     JOIN clients c ON ((c.id = b.client_id)))
  WHERE ((b.id = client_workout_block_exercises.client_block_id) AND (c.coach_id = auth.uid()))))"
public,client_workout_blocks,Coaches delete client workout blocks,PERMISSIVE,{authenticated},DELETE,"(client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))",null
public,client_workout_blocks,Coaches insert client workout blocks,PERMISSIVE,{authenticated},INSERT,null,"(client_id IN ( SELECT clients.id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))"
public,client_workout_blocks,Coaches select client workout blocks,PERMISSIVE,{authenticated},SELECT,"(client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))",null
public,client_workout_blocks,client_workout_blocks_update,PERMISSIVE,{public},UPDATE,"((client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,client_workout_blocks,clients_view_client_blocks,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM clients c
  WHERE ((c.id = client_workout_blocks.client_id) AND (c.client_id = auth.uid()))))",null
public,client_workout_blocks,coaches_manage_client_blocks,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM clients c
  WHERE ((c.id = client_workout_blocks.client_id) AND (c.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM clients c
  WHERE ((c.id = client_workout_blocks.client_id) AND (c.coach_id = auth.uid()))))"
public,meal_plan_items,Clients can read assigned meal plan items,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (meal_plans
     JOIN meal_plan_assignments ON ((meal_plan_assignments.meal_plan_id = meal_plans.id)))
  WHERE ((meal_plans.id = meal_plan_items.meal_plan_id) AND (meal_plan_assignments.client_id = auth.uid()))))",null
public,meal_plan_items,Coaches can manage meal plan items,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,program_assignment_progress,program_assignment_progress_delete,PERMISSIVE,{public},DELETE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_assignment_progress.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,program_assignment_progress,program_assignment_progress_insert,PERMISSIVE,{public},INSERT,null,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_assignment_progress.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,program_assignment_progress,program_assignment_progress_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_assignment_progress.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,program_assignment_progress,program_assignment_progress_update,PERMISSIVE,{public},UPDATE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_assignment_progress.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_assignment_progress.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,program_workout_completions,program_workout_completions_delete,PERMISSIVE,{public},DELETE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_workout_completions.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,program_workout_completions,program_workout_completions_insert,PERMISSIVE,{public},INSERT,null,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_workout_completions.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,program_workout_completions,program_workout_completions_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_workout_completions.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,program_workout_completions,program_workout_completions_update,PERMISSIVE,{public},UPDATE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_workout_completions.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = program_workout_completions.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,performance_tests,performance_tests_delete_own,PERMISSIVE,{public},DELETE,(auth.uid() = client_id),null
public,performance_tests,performance_tests_insert_own,PERMISSIVE,{public},INSERT,null,(auth.uid() = client_id)
public,performance_tests,performance_tests_select_coach,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text])) AND ((EXISTS ( SELECT 1
           FROM workout_assignments wa
          WHERE ((wa.client_id = performance_tests.client_id) AND (wa.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
           FROM program_assignments pa
          WHERE ((pa.client_id = performance_tests.client_id) AND (pa.coach_id = auth.uid()))))))))",null
public,performance_tests,performance_tests_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = client_id),null
public,performance_tests,performance_tests_update,PERMISSIVE,{public},UPDATE,(client_id = auth.uid()),(client_id = auth.uid())
public,coach_time_slots,Anyone can view available time slots,PERMISSIVE,{public},SELECT,true,null
public,coach_time_slots,Coaches can manage their own time slots,PERMISSIVE,{public},ALL,"((auth.uid() = coach_id) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'coach'::text)))))","((auth.uid() = coach_id) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'coach'::text)))))"
public,booked_sessions,Clients can book sessions,PERMISSIVE,{public},INSERT,null,"((auth.uid() = client_id) AND (EXISTS ( SELECT 1
   FROM coach_time_slots
  WHERE ((coach_time_slots.id = booked_sessions.time_slot_id) AND (coach_time_slots.is_available = true)))))"
public,booked_sessions,Clients can cancel their own sessions,PERMISSIVE,{public},UPDATE,((auth.uid() = client_id) AND (status = 'scheduled'::text)),"((auth.uid() = client_id) AND (status = ANY (ARRAY['cancelled'::text, 'scheduled'::text])))"
public,booked_sessions,Clients can view their own booked sessions,PERMISSIVE,{public},SELECT,((auth.uid() = client_id) OR (auth.uid() = coach_id)),null
public,booked_sessions,Coaches can update session details,PERMISSIVE,{public},UPDATE,(auth.uid() = coach_id),(auth.uid() = coach_id)
public,booked_sessions,Coaches can view their sessions,PERMISSIVE,{public},SELECT,"((auth.uid() = coach_id) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'coach'::text)))))",null
